participant_id,Label,GrayVol,SurfArea,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
28000023,lh_bankssts,5528.0,1781.0,2.924,0.541,0.086,0.013,16.0,1.4
28000023,lh_caudalanteriorcingulate,2039.0,565.0,3.034,0.779,0.106,0.014,7.0,0.5
28000023,lh_caudalmiddlefrontal,3919.0,1533.0,2.313,0.613,0.094,0.018,17.0,1.6
28000023,lh_cuneus,3711.0,1597.0,2.196,0.749,0.128,0.025,25.0,2.6
28000023,lh_entorhinal,1543.0,273.0,3.278,0.807,0.075,0.016,2.0,0.3
28000023,lh_fusiform,11849.0,3296.0,3.048,0.671,0.104,0.023,47.0,4.5
28000023,lh_inferiorparietal,17415.0,4812.0,3.062,0.626,0.103,0.019,61.0,5.4
28000023,lh_inferiortemporal,12720.0,3150.0,3.203,0.742,0.115,0.024,51.0,4.3
28000023,lh_isthmuscingulate,3316.0,1089.0,2.538,0.93,0.109,0.022,17.0,1.1
28000023,lh_lateraloccipital,14549.0,5499.0,2.349,0.694,0.118,0.027,93.0,9.1
28000023,lh_lateralorbitofrontal,9659.0,2734.0,3.031,0.752,0.118,0.029,41.0,4.6
28000023,lh_lingual,7905.0,2918.0,2.419,0.714,0.126,0.028,48.0,4.9
28000023,lh_medialorbitofrontal,6505.0,1814.0,3.025,0.658,0.109,0.024,31.0,2.5
28000023,lh_middletemporal,15702.0,3623.0,3.379,0.64,0.11,0.019,60.0,4.0
28000023,lh_parahippocampal,2073.0,664.0,2.614,0.655,0.072,0.016,8.0,0.7
28000023,lh_paracentral,2729.0,970.0,2.529,0.681,0.113,0.022,16.0,1.2
28000023,lh_parsopercularis,6896.0,1960.0,2.894,0.585,0.096,0.016,23.0,1.9
28000023,lh_parsorbitalis,3347.0,750.0,3.149,0.74,0.133,0.029,16.0,1.0
28000023,lh_parstriangularis,5955.0,1765.0,2.746,0.706,0.105,0.019,21.0,2.0
28000023,lh_pericalcarine,2165.0,1491.0,1.647,0.451,0.112,0.022,18.0,1.9
28000023,lh_postcentral,8539.0,2740.0,2.696,0.712,0.115,0.022,46.0,3.5
28000023,lh_posteriorcingulate,4274.0,1195.0,2.987,0.875,0.108,0.021,16.0,1.5
28000023,lh_precentral,11497.0,4153.0,2.435,0.851,0.109,0.022,61.0,5.4
28000023,lh_precuneus,13020.0,3884.0,2.919,0.674,0.112,0.022,55.0,5.1
28000023,lh_rostralanteriorcingulate,3758.0,980.0,3.075,0.839,0.111,0.029,17.0,1.6
28000023,lh_rostralmiddlefrontal,26890.0,8116.0,2.718,0.632,0.119,0.025,130.0,11.7
28000023,lh_superiorfrontal,24493.0,7278.0,2.84,0.768,0.115,0.025,99.0,10.9
28000023,lh_superiorparietal,11191.0,4082.0,2.421,0.637,0.106,0.02,53.0,4.9
28000023,lh_superiortemporal,14671.0,3869.0,3.172,0.661,0.089,0.018,49.0,3.9
28000023,lh_supramarginal,12293.0,3170.0,3.062,0.708,0.123,0.023,56.0,4.4
28000023,lh_frontalpole,1342.0,324.0,2.894,0.738,0.156,0.037,7.0,0.6
28000023,lh_temporalpole,2331.0,424.0,3.637,0.748,0.146,0.039,10.0,0.9
28000023,lh_transversetemporal,1357.0,439.0,2.821,0.507,0.129,0.019,8.0,0.5
28000023,lh_insula,8201.0,2185.0,3.441,0.82,0.097,0.024,23.0,2.9
28000023,rh_bankssts,3462.0,1070.0,3.416,0.642,0.111,0.019,13.0,1.4
28000023,rh_caudalanteriorcingulate,2744.0,736.0,2.802,1.012,0.109,0.019,9.0,0.8
28000023,rh_caudalmiddlefrontal,4842.0,1671.0,2.62,0.56,0.11,0.023,24.0,2.2
28000023,rh_cuneus,4117.0,1614.0,2.304,0.698,0.136,0.029,29.0,3.0
28000023,rh_entorhinal,1729.0,293.0,3.748,0.757,0.105,0.021,3.0,0.4
28000023,rh_fusiform,9969.0,2685.0,3.116,0.625,0.106,0.021,43.0,3.4
28000023,rh_inferiorparietal,23663.0,6521.0,3.053,0.64,0.118,0.022,105.0,8.9
28000023,rh_inferiortemporal,11248.0,3207.0,2.997,0.592,0.1,0.019,43.0,3.4
28000023,rh_isthmuscingulate,3614.0,1110.0,2.468,0.944,0.11,0.026,18.0,1.3
28000023,rh_lateraloccipital,15192.0,5428.0,2.504,0.699,0.117,0.024,88.0,7.9
28000023,rh_lateralorbitofrontal,8904.0,2598.0,3.02,0.726,0.123,0.031,47.0,4.4
28000023,rh_lingual,8101.0,2996.0,2.395,0.714,0.123,0.027,49.0,4.4
28000023,rh_medialorbitofrontal,7086.0,1996.0,3.065,0.753,0.117,0.034,43.0,3.6
28000023,rh_middletemporal,19799.0,4267.0,3.531,0.649,0.115,0.022,71.0,5.7
28000023,rh_parahippocampal,2084.0,609.0,2.946,0.598,0.076,0.013,5.0,0.4
28000023,rh_paracentral,4071.0,1235.0,2.876,0.624,0.114,0.021,14.0,1.7
28000023,rh_parsopercularis,3701.0,1082.0,2.891,0.538,0.101,0.019,14.0,1.1
28000023,rh_parsorbitalis,3313.0,759.0,3.155,0.672,0.131,0.03,17.0,1.1
28000023,rh_parstriangularis,5318.0,1535.0,2.768,0.666,0.108,0.02,23.0,1.6
28000023,rh_pericalcarine,2597.0,1709.0,1.742,0.501,0.123,0.027,21.0,2.7
28000023,rh_postcentral,10008.0,3667.0,2.317,0.88,0.103,0.019,57.0,4.0
28000023,rh_posteriorcingulate,4868.0,1378.0,2.882,0.896,0.116,0.023,20.0,2.0
28000023,rh_precentral,10907.0,3977.0,2.472,0.666,0.094,0.016,43.0,3.9
28000023,rh_precuneus,12398.0,4099.0,2.678,0.722,0.105,0.02,55.0,4.9
28000023,rh_rostralanteriorcingulate,2495.0,595.0,3.223,0.781,0.13,0.03,10.0,1.1
28000023,rh_rostralmiddlefrontal,20377.0,5971.0,2.698,0.697,0.134,0.032,123.0,10.2
28000023,rh_superiorfrontal,20131.0,6122.0,2.741,0.765,0.114,0.024,93.0,8.5
28000023,rh_superiorparietal,12945.0,4889.0,2.322,0.653,0.107,0.02,84.0,6.1
28000023,rh_superiortemporal,13710.0,3528.0,3.209,0.647,0.078,0.012,34.0,2.7
28000023,rh_supramarginal,12027.0,3437.0,2.901,0.649,0.11,0.02,46.0,4.1
28000023,rh_frontalpole,1374.0,349.0,2.757,0.844,0.168,0.052,12.0,0.9
28000023,rh_temporalpole,3310.0,460.0,4.261,0.566,0.152,0.046,10.0,0.9
28000023,rh_transversetemporal,1015.0,326.0,2.856,0.53,0.12,0.019,6.0,0.4
28000023,rh_insula,7874.0,2142.0,3.398,0.741,0.105,0.025,28.0,3.3
28000046,lh_bankssts,2905.0,1080.0,2.791,0.507,0.097,0.016,10.0,1.1
28000046,lh_caudalanteriorcingulate,2615.0,656.0,3.282,0.652,0.119,0.023,10.0,0.9
28000046,lh_caudalmiddlefrontal,5378.0,1799.0,2.621,0.614,0.118,0.027,25.0,2.7
28000046,lh_cuneus,3933.0,1426.0,2.442,0.742,0.161,0.045,33.0,3.7
28000046,lh_entorhinal,1346.0,253.0,3.48,0.698,0.115,0.046,8.0,0.5
28000046,lh_fusiform,9115.0,2330.0,3.151,0.701,0.137,0.036,46.0,5.0
28000046,lh_inferiorparietal,15715.0,4538.0,2.861,0.619,0.122,0.026,79.0,6.6
28000046,lh_inferiortemporal,8258.0,2029.0,3.294,0.76,0.133,0.033,33.0,4.1
28000046,lh_isthmuscingulate,3368.0,1048.0,2.577,0.955,0.115,0.027,18.0,1.5
28000046,lh_lateraloccipital,13821.0,4731.0,2.436,0.753,0.14,0.035,94.0,9.5
28000046,lh_lateralorbitofrontal,7933.0,2140.0,3.133,0.755,0.128,0.036,38.0,4.3
28000046,lh_lingual,7882.0,2753.0,2.488,0.651,0.143,0.04,59.0,5.6
28000046,lh_medialorbitofrontal,5570.0,1609.0,2.929,0.78,0.144,0.042,35.0,3.9
28000046,lh_middletemporal,11395.0,2456.0,3.453,0.68,0.129,0.031,43.0,4.2
28000046,lh_parahippocampal,1502.0,556.0,2.387,0.717,0.09,0.021,6.0,0.6
28000046,lh_paracentral,3682.0,1145.0,2.732,0.557,0.116,0.028,15.0,1.7
